Identity  : 	id00022
Reference : 	ds44qg0crCw
Offset    : 	-1
FV Conf   : 	15.243	(1)
ASD Conf  : 	4.942

FRAME 	X 	Y 	W 	H 
001561 	0.326 	0.155 	0.279 	0.496 
001562 	0.326 	0.156 	0.278 	0.494 
001563 	0.328 	0.156 	0.278 	0.494 
001564 	0.329 	0.156 	0.277 	0.493 
001565 	0.332 	0.156 	0.277 	0.493 
001566 	0.333 	0.156 	0.277 	0.493 
001567 	0.335 	0.154 	0.277 	0.493 
001568 	0.336 	0.152 	0.277 	0.493 
001569 	0.337 	0.152 	0.278 	0.494 
001570 	0.337 	0.151 	0.279 	0.496 
001571 	0.336 	0.149 	0.282 	0.501 
001572 	0.336 	0.148 	0.282 	0.501 
001573 	0.336 	0.139 	0.282 	0.501 
001574 	0.337 	0.138 	0.282 	0.501 
001575 	0.337 	0.138 	0.282 	0.501 
001576 	0.337 	0.136 	0.282 	0.501 
001577 	0.337 	0.136 	0.282 	0.501 
001578 	0.338 	0.137 	0.280 	0.498 
001579 	0.340 	0.138 	0.276 	0.490 
001580 	0.340 	0.138 	0.276 	0.490 
001581 	0.339 	0.138 	0.276 	0.490 
001582 	0.339 	0.139 	0.276 	0.490 
001583 	0.339 	0.140 	0.276 	0.490 
001584 	0.340 	0.140 	0.276 	0.490 
001585 	0.340 	0.141 	0.276 	0.490 
001586 	0.340 	0.141 	0.276 	0.490 
001587 	0.342 	0.144 	0.272 	0.483 
001588 	0.342 	0.146 	0.273 	0.485 
001589 	0.343 	0.147 	0.273 	0.485 
001590 	0.343 	0.147 	0.273 	0.485 
001591 	0.346 	0.147 	0.273 	0.485 
001592 	0.346 	0.147 	0.273 	0.485 
001593 	0.349 	0.147 	0.273 	0.485 
001594 	0.351 	0.147 	0.272 	0.483 
001595 	0.353 	0.149 	0.269 	0.479 
001596 	0.354 	0.149 	0.267 	0.475 
001597 	0.354 	0.149 	0.267 	0.475 
001598 	0.354 	0.149 	0.267 	0.475 
001599 	0.354 	0.149 	0.267 	0.475 
001600 	0.354 	0.149 	0.267 	0.475 
001601 	0.354 	0.149 	0.267 	0.475 
001602 	0.353 	0.149 	0.267 	0.475 
001603 	0.351 	0.149 	0.268 	0.477 
001604 	0.348 	0.150 	0.268 	0.477 
001605 	0.344 	0.148 	0.272 	0.484 
001606 	0.343 	0.150 	0.274 	0.488 
001607 	0.340 	0.151 	0.274 	0.488 
001608 	0.338 	0.150 	0.275 	0.489 
001609 	0.335 	0.150 	0.276 	0.490 
